"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Intercontinental Wellington","<http://www.touristlink.com/new-zealand/intercontinental-wellington/overview.html>","<http://www.touristlink.com/new-zealand/intercontinental-wellington/overview.html>","www.touristlink.com","touristlink.com_923","6011","2 Grey Street","New Zealand","Wellington","intercontinental","wellington"
"Hotel Karma Plaza","<http://www.touristlink.com/india/goa/cat/hotels.html>","<http://www.touristlink.com/india/friday-mapusa-market/cat/hotels.html>","www.touristlink.com","touristlink.com_924","403802","Rajendra Prasad Avenue, Near Vasco railway station","India","Vasco","hotel plaza","karma"
"The Signature Crest - Betim","<http://www.touristlink.com/india/bardez-goa/cat/hotels.html>","<http://www.touristlink.com/india/friday-mapusa-market/cat/hotels.html>","www.touristlink.com","touristlink.com_925","403 101","Flat E421, Villa Paradiso, Village Pehna De Franca Taluka","India","Bardez","","betim signature crest"
"Ibis Lyon Villefranche Sur Saone","<http://www.touristlink.com/france/rhone-alpes/cat/hotels.html>","<http://www.touristlink.com/france/tour-du-credit-lyonnais/cat/hotels.html>","www.touristlink.com","touristlink.com_926","69400","94 Allee De Riottier","France","Villefranche Sur Saone","","ibis villefranche saone sur lyon"
"La Pyramide","<http://www.touristlink.com/france/vienne-town/cat/hotels.html>","<http://www.touristlink.com/france/tour-du-credit-lyonnais/cat/hotels.html>","www.touristlink.com","touristlink.com_927","38200","14 Blvd Fernand Point","France","Vienne","la","pyramide"
"Norlandia Grand Hotel","<http://www.touristlink.com/norway/stord/cat/hotels.html>","<http://www.touristlink.com/norway/hardangerfjord/cat/hotels.html>","www.touristlink.com","touristlink.com_928","5400","Osen 5","Norway","Stord","hotel grand","norlandia"
"Fleischer's","<http://www.touristlink.com/norway/voss/cat/hotels.html>","<http://www.touristlink.com/norway/hardangerfjord/cat/hotels.html>","www.touristlink.com","touristlink.com_929","5411","N-5700 Voss","Norway","Voss","","fleischer"
"Holiday Express and Suites Nw Herndo","<http://www.touristlink.com/united-states/fresno/cat/hotels.html>","<http://www.touristlink.com/united-states/lake-yosemite/cat/hotels.html>","www.touristlink.com","touristlink.com_93","93722","7191 W Kathryn Ave","United States","Fresno","express suites holiday","herndo nw"
"Fugl Fonix Hotel","<http://www.touristlink.com/norway/etne/cat/hotels.html>","<http://www.touristlink.com/norway/hardangerfjord/cat/hotels.html>","www.touristlink.com","touristlink.com_930","5591","Etnesjoen","Norway","Etne","hotel","fonix fugl"
"Rica Brakanes Hotel","<http://www.touristlink.com/norway/ulvik/cat/hotels.html>","<http://www.touristlink.com/norway/hardangerfjord/cat/hotels.html>","www.touristlink.com","touristlink.com_931","5730","Fjordveien","Norway","Ulvik","hotel","rica brakanes"
"Baskerville Hall","<http://www.touristlink.com/wales/hay-on-wye/cat/hotels.html>","<http://www.touristlink.com/wales/bodelwyddan/cat/hotels.html>","www.touristlink.com","touristlink.com_932","29015","Hay on Wye","Wales","Malaga","","hall baskerville"
"Tree Top Walk","<http://www.touristlink.com/australia/walpole/cat/hotels.html>","<http://www.touristlink.com/australia/frankland-river/cat/hotels.html>","www.touristlink.com","touristlink.com_933","6398","501 Nockolds Street","Australia","Walpole","","tree walk top"
"Chimes Spa Retreat","<http://www.touristlink.com/australia/denmark/cat/hotels.html>","<http://www.touristlink.com/australia/frankland-river/cat/hotels.html>","www.touristlink.com","touristlink.com_934","6333","Mt Shadforth Scenic Drive","Australia","Denmark","spa","chimes retreat"
"Best Western Pemberton Hotel","<http://www.touristlink.com/australia/pemberton/cat/hotels.html>","<http://www.touristlink.com/australia/frankland-river/cat/hotels.html>","www.touristlink.com","touristlink.com_935","WA 6260","66 Brockman Street","Australia","Pemberton","best hotel western","pemberton"
