"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Citadines Les Halles Paris","<https://www.booking.com/hotel/fr/citadines-aparthotel-les-halles.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/banana-cafe.html>","www.nighttours.com","www.nighttours.com_1735","","4 Rue Des Innocents","fr","","","halles les paris citadines"
"Pompidou Studio","<https://www.booking.com/hotel/fr/space-of-mia-in-central-paris.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/banana-cafe.html>","www.nighttours.com","www.nighttours.com_1736","","9 Rue des Innocents","fr","","","studio pompidou"
"Relais Ferronnerie","<https://www.booking.com/hotel/fr/relais-ferronnerie.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/banana-cafe.html>","www.nighttours.com","www.nighttours.com_1737","","Rue De La Ferronnerie","fr","","","relais ferronnerie"
"Studio Fontaine Des Innocents","<https://www.booking.com/hotel/fr/studio-fontaine-des-innocents.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/banana-cafe.html>","www.nighttours.com","www.nighttours.com_1738","","12 Rue De La Ferronnerie","fr","","","fontaine studio innocents des"
"The Townhouse Manchester","<https://www.booking.com/hotel/gb/macdonald-townhouse-manchester.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/manchester/gayguide/cruz101.html>","www.nighttours.com","www.nighttours.com_1739","","101 Portland Street","uk","","","manchester townhouse"
"XTRA Hotel","<https://www.booking.com/hotel/ch/xtra.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/zurich/gayguide/heldenbar.html>","www.nighttours.com","www.nighttours.com_174","","Limmatstrasse 118","ch","","hotel","xtra"
"ibis Manchester Centre 96 Portland Street (new ibis rooms)","<https://www.booking.com/hotel/gb/ibis-manchester-centre.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/manchester/gayguide/cruz101.html>","www.nighttours.com","www.nighttours.com_1740","","Portland Street","uk","","centre","manchester ibis rooms street portland new"
"Novotel Manchester Centre","<https://www.booking.com/hotel/gb/novotelmanchestercentre.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/manchester/gayguide/cruz101.html>","www.nighttours.com","www.nighttours.com_1741","","21 Dickinson Street","uk","","centre","manchester novotel"
"Cabinn Odense","<https://www.booking.com/hotel/dk/cab-inn-odense.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/odense/gayguide/dansk-melodi-grand-prix.html>","www.nighttours.com","www.nighttours.com_1742","5000","\u00D8stre Stationsvej 7-9","dk","Odense","","odense cabinn"
"Radisson Blu H.C. Andersen Hotel, Odense","<https://www.booking.com/hotel/dk/radisson-blu-h-c-andersen.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/odense/gayguide/dansk-melodi-grand-prix.html>","www.nighttours.com","www.nighttours.com_1743","5000","Claus Bergs Gade 7","dk","Odense","hotel h","c blu andersen odense radisson"
