"URI","City","City population","Country","lat","long"
"WebTables_473","Suzhou","2,383,000","China","",""
"WebTables_474","Linyi","2,300,000","China","",""
"WebTables_475","Dalian","2,270,000","China","",""
"WebTables_476","Ningbo","2,201,000","China","",""
"WebTables_477","Lanzhou","2,088,000","China","",""
"WebTables_478","Changzhou","2,086,000","China","",""
"WebTables_479","Kowloon","2,020,000","China","",""
"WebTables_480","Tangshan","1,980,000","China","",""
"WebTables_481","Jilin","1,953,000","China","",""
"WebTables_482","Nanchong","1,950,000","China","",""
"WebTables_483","Jinan","1,900,000","China","",""
"WebTables_484","Macheng","1,880,000","China","",""
"WebTables_485","Nanchang","1,844,000","China","",""
"WebTables_486","Xuzhou","1,830,000","China","",""
"WebTables_487","Huzhou","1,800,000","China","",""
"WebTables_488","Suzhou Anhui","1,800,000","China","",""
"WebTables_489","Urumqi","1,800,000","China","",""
"WebTables_490","Yantai","1,800,000","China","",""
"WebTables_491","Tianmen","1,790,000","China","",""
"WebTables_492","Shantou","1,770,000","China","",""
"WebTables_493","Hefei","1,750,000","China","",""
"WebTables_494","Tengzhou","1,750,000","China","",""
"WebTables_495","Wuxi","1,750,000","China","",""
"WebTables_496","Fuyang","1,720,000","China","",""
"WebTables_497","Suizhou","1,680,000","China","",""
"WebTables_498","Gaozhou","1,650,000","China","",""
"WebTables_499","Taian","1,650,000","China","",""
"WebTables_500","Tianshui","1,630,000","China","",""
"WebTables_501","Shangqiu","1,610,000","China","",""
"WebTables_502","Neijiang","1,560,000","China","",""
"WebTables_503","Hechuan","1,530,000","China","",""
"WebTables_504","Taizhou","1,528,000","China","",""
"WebTables_505","Guigang","1,500,000","China","",""
"WebTables_506","Luoyang","1,500,000","China","",""
"WebTables_507","Quanzhou","1,490,000","China","",""
"WebTables_508","Nanan","1,480,000","China","",""
"WebTables_509","Xintai","1,480,000","China","",""
"WebTables_510","Xinyang","1,460,000","China","",""
"WebTables_511","Rugao","1,453,000","China","",""
"WebTables_512","Anyang","1,450,000","China","",""
"WebTables_513","Weifang","1,450,000","China","",""
"WebTables_514","Zhanjiang","1,450,000","China","",""
"WebTables_515","Fushun","1,445,000","China","",""
"WebTables_516","Qiqihaer","1,439,000","China","",""
"WebTables_517","Jianyang","1,430,000","China","",""
"WebTables_518","Guiping","1,420,000","China","",""
"WebTables_519","Huazhou","1,420,000","China","",""
"WebTables_520","Changde","1,400,000","China","",""
"WebTables_521","Tongzhou","1,400,000","China","",""
"WebTables_522","Handan","1,390,000","China","",""
"WebTables_523","Suining","1,385,000","China","",""
"WebTables_524","Liuyang","1,380,000","China","",""
"WebTables_525","Luzhou","1,380,000","China","",""
"WebTables_526","Taixing","1,355,000","China","",""
"WebTables_527","Bozhou","1,352,000","China","",""
"WebTables_528","Jinjiang","1,350,000","China","",""
"WebTables_529","Lufeng","1,350,000","China","",""
